,Item,USD,Per ton,Tonnes,protein,fat,carbs,weight,protein tonnes,fat tonnes,carbs tonnes
30,oats,64948,116.6,557.0154373927959,13.003815,5.845,69.204185,100.0,72.433257,32.557552315608916,385.4779937718696
31,barley,93920,223.7,419.84801072865446,0.0,0.0,0.0,100.0,0.0,0.0,0.0
32,maté leaves,76654,234.0,327.5811965811966,0.0,0.0,0.0,100.0,0.0,0.0,0.0
33,avocados,117883,377.7,312.10749271908924,0.0,0.0,0.0,100.0,0.0,0.0,0.0
34,"other tropical fruits, n.e.c.",128783,504.9,255.06634977223214,1.06,14.684385964912279,9.18,156.0,1.733143145888244,24.009568761004946,15.009673659673659
35,natural rubber in primary forms,111074,613.1,181.1678355896265,19.955459964705888,5.754280274361398,13.466986442477877,980.0,3.689068867348173,1.0637658190634047,2.489576311937307
36,cocoa beans,403187,2456.8,164.1106317160534,24.041972517730475,1.2814953810623566,5.761225,129.0,30.585606958021266,1.6302869498244024,7.329288947351316
37,peaches and nectarines,83079,531.6,156.28103837471784,3.3380416666666672,14.703251256281405,12.943115,980.0,0.5323189977599393,2.3447340549143187,2.0640443387789653
38,"groundnuts, excluding shelled",71613,461.5,155.1744312026002,0.0,0.0,0.0,100.0,0.0,0.0,0.0
39,sunflower seed,42068,280.0,150.24285714285713,9.094592857142857,24.287053731343295,20.87946428571429,127.0,10.75903634179656,28.731939717945718,24.70071157399968
40,"pepper (piper spp.), raw",229846,1578.8,145.58272105396503,10.54002955275229,5.271199695121949,9.609956011904762,814.0,1.8850690199986297,0.9427464310008405,1.718726714277648
41,persimmons,61665,441.6,139.6399456521739,0.0,0.0,0.0,100.0,0.0,0.0,0.0
42,"cashew nuts, in shell",64221,705.9,90.97747556311093,19.92109118834952,7.539545177902615,13.561060067796614,980.0,1.8493577416107887,0.6999273338567408,1.258929602987598
43,green garlic,188931,2419.6,78.08356753182345,1.580284090909091,2.1855705555555547,10.470320454545456,129.0,0.9565443374571025,1.3229236129479616,6.337674219320407
44,triticale,7264,130.1,55.83397386625673,0.0,0.0,0.0,100.0,0.0,0.0,0.0
45,"other fibre crops, raw, n.e.c.",25739,528.0,48.74810606060606,10.50097976027397,6.304862462462462,9.70093175196851,814.0,0.6288733109264288,0.3775799803656683,0.580960749301796
46,natural honey,123806,2724.8,45.436729301233115,0.10078125,11.273200000000006,14.69096875,100.0,0.045791703748899,5.122173367586615,6.67509570266625
47,"sisal, raw",21077,755.3,27.905468025949954,10.721563399532709,5.520572085385877,9.722281413934429,814.0,0.3675555830882743,0.18925570984482487,0.33329829623566914
48,"brazil nuts, in shell",23036,1046.4,22.01452599388379,19.92109118834952,7.539545177902615,13.561060067796614,980.0,0.44750344876780596,0.1693668503071411,0.3046329687419674
49,figs,19157,1003.9,19.08257794601056,3.3,0.9937499999999999,63.9,149.0,0.4226342766566097,0.12727054922045633,8.183736447987078
50,pears,7917,644.8,12.278225806451614,0.37999999999999995,0.21600000000000005,15.099999999999998,230.0,0.020285764375876574,0.011530855539971952,0.8060922159887797
51,castor oil seeds,7390,686.2,10.769454969396676,24.924,30.586382978723403,2.9050000000000002,174.0,1.5426315842370273,1.8930958285407051,0.17980038325343303
52,"broad beans and horse beans, dry",10251,1288.5,7.955762514551805,23.913754884720632,2.7498116672668176,12.676975925925925,980.0,0.19413485172861278,0.022323314882161785,0.10291327537689503
