,Partner Countries,Value,Item,Element,protein,fat,carbs,weight,protein tonnes,fat tonnes,carbs tonnes
0,Afghanistan,513,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,17.851421432358716,1.0369816895243646,12.06255560869565
1,Angola,133,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,4.628146297278185,0.2688471046915019,3.127329231884057
2,Argentina,400,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,13.919236984295294,0.8085627208766974,9.40550144927536
3,Australia,6383,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,222.11622417689216,12.902639618389902,150.08828937681156
4,Austria,24,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,0.8351542190577177,0.04851376325260185,0.5643300869565216
5,Bangladesh,30761,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,1070.424122184769,62.18049464222023,723.3065752028983
6,Belgium,125943,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,4382.576158782756,254.58203688843477,2961.392672565217
7,Bulgaria,26,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,0.9047504039791943,0.05255657685698534,0.6113575942028984
8,Cabo Verde,27,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,0.9395484964399324,0.05457798365917708,0.6348713478260868
9,Canada,1281,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,44.57635644220568,2.5894221136076236,30.12111839130434
10,Chile,123530,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,4298.608361674995,249.7043822747461,2904.653985072463
11,"China, Hong Kong SAR",250,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,8.69952311518456,0.505351700547936,5.8784384057971
12,"China, mainland",21235,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,738.9374934037764,42.92457344454168,499.31455818840567
13,"China, Taiwan Province of",800,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,27.838473968590588,1.617125441753395,18.81100289855072
14,Colombia,197,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,6.855224214765433,0.39821714003177355,4.632209463768114
15,Costa Rica,370,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,12.875294210473148,0.7479205168109452,8.700088840579708
16,Cuba,95631,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,3327.7763801128585,193.30915390039866,2248.64377273913
17,Czechia,1,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,0.034798092460738235,0.002021406802191744,0.0235137536231884
18,Democratic People's Republic of Korea,17392,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,605.2084240771594,35.15630710371881,408.95120301449265
19,Denmark,189555,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,6596.152416395236,383.167766389456,4457.149568043477
20,Dominican Republic,5253,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,182.79437969625795,10.618449931913231,123.51774778260865
21,Ecuador,2369,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,82.43668103948889,4.788712714392242,55.70408233333332
22,Equatorial Guinea,50,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,1.7399046230369117,0.10107034010958718,1.17568768115942
23,Estonia,66,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,2.2966741024087236,0.1334128489446551,1.5519077391304343
24,Finland,26,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,0.9047504039791943,0.05255657685698534,0.6113575942028984
25,France,1803694,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,62765.1105828788,3645.999320672435,42411.616327623175
26,Gabon,110,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,3.8277901706812063,0.22235474824109183,2.586512898550724
27,Germany,1304645,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,45399.157338439836,2637.2182774454477,30677.10109572463
28,Greece,5398,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,187.84010310306502,10.911553918231034,126.92724205797099
29,Guatemala,281,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,9.778263981467443,0.56801531141588,6.607364768115941
30,Guyana,58,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,2.018289362722818,0.11724159452712113,1.3637977101449272
31,Honduras,82,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,2.8534435817805357,0.165755357779723,1.9281277971014488
32,Indonesia,1513740,cake of  soya beans,Export Quantity,24.010683797909383,1.3947706935123032,16.224489999999996,690.0,52675.2644815179,3059.88433274973,35593.70940956521
